Make,Fuel,EngineCylinders,AverageHighwayMPG,AverageCityMPG,AvgCityandHwMPG,MakeAvgMPG,MakeMinMPG
Acura,Gasoline,4,35,25,30.0,27.25,24.5
Acura,Gasoline,6,28,21,24.5,27.25,24.5
Alfa Romeo,Gasoline,4,33,24,28.5,24.5,20.5
Alfa Romeo,Gasoline,6,24,17,20.5,24.5,20.5
Aston Martin,Gasoline,12,19,12,15.5,15.5,15.5
Audi,Gasoline,4,30,23,26.5,23.4,18.0
Audi,Gasoline,6,27,19,23.0,23.4,18.0
Audi,Gasoline,8,26,17,21.5,23.4,18.0
Audi,Gasoline,10,22,14,18.0,23.4,18.0
Audi,Gasoline,4,32,24,28.0,23.4,18.0
Bentley,Gasoline,8,22,13,17.5,16.75,16.0
Bentley,Gasoline,12,20,12,16.0,16.75,16.0
BMW,Diesel,4,41,30,35.5,36.888888888888886,16.5
BMW,Diesel,6,29,23,26.0,36.888888888888886,16.5
BMW,Electricity,0,109,133,121.0,36.888888888888886,16.5
BMW,Gasoline,2,33,36,34.5,36.888888888888886,16.5
BMW,Gasoline,3,29,28,28.5,36.888888888888886,16.5
BMW,Gasoline,4,32,23,27.5,36.888888888888886,16.5
BMW,Gasoline,6,28,19,23.5,36.888888888888886,16.5
BMW,Gasoline,8,23,15,19.0,36.888888888888886,16.5
BMW,Gasoline,12,20,13,16.5,36.888888888888886,16.5
Buick,Gasoline,4,27,20,23.5,24.166666666666668,22.0
Buick,Gasoline,4,31,23,27.0,24.166666666666668,22.0
Buick,Gasoline,6,26,18,22.0,24.166666666666668,22.0
Cadillac,Gasoline,4,30,22,26.0,21.916666666666668,17.5
Cadillac,Gasoline,6,25,17,21.0,21.916666666666668,17.5
Cadillac,Gasoline,8,21,14,17.5,21.916666666666668,17.5
Cadillac,Gasoline,4,32,22,27.0,21.916666666666668,17.5
Cadillac,Gasoline,6,26,18,22.0,21.916666666666668,17.5
Cadillac,Gasoline,8,21,15,18.0,21.916666666666668,17.5
Chevrolet,Diesel,4,29,21,25.0,36.857142857142854,18.0
Chevrolet,Electricity,0,110,128,119.0,36.857142857142854,18.0
Chevrolet,Gasoline,4,31,21,26.0,36.857142857142854,18.0
Chevrolet,Gasoline,8,23,15,19.0,36.857142857142854,18.0
Chevrolet,Gasoline,4,34,27,30.5,36.857142857142854,18.0
Chevrolet,Gasoline,6,24,17,20.5,36.857142857142854,18.0
Chevrolet,Gasoline,8,21,15,18.0,36.857142857142854,18.0
Chrysler,Gasoline,8,25,16,20.5,24.833333333333332,20.5
Chrysler,Gasoline,4,36,23,29.5,24.833333333333332,20.5
Chrysler,Gasoline,6,29,20,24.5,24.833333333333332,20.5
Dodge,Gasoline,8,24,15,19.5,19.6,15.5
Dodge,Gasoline,8,23,14,18.5,19.6,15.5
Dodge,Gasoline,10,19,12,15.5,19.6,15.5
Dodge,Gasoline,4,25,19,22.0,19.6,15.5
Dodge,Gasoline,6,27,18,22.5,19.6,15.5
Ferrari,Gasoline,8,22,16,19.0,16.5,14.0
Ferrari,Gasoline,12,16,12,14.0,16.5,14.0
Fiat,Electricity,0,103,121,112.0,56.0,26.0
Fiat,Gasoline,4,34,26,30.0,56.0,26.0
Fiat,Gasoline,4,30,22,26.0,56.0,26.0
Ford,Electricity,0,96,118,107.0,32.6875,14.5
Ford,Gasoline,4,25,19,22.0,32.6875,14.5
Ford,Gasoline,6,18,11,14.5,32.6875,14.5
Ford,Gasoline,8,21,14,17.5,32.6875,14.5
Ford,Gasoline,3,40,29,34.5,32.6875,14.5
Ford,Gasoline,4,31,24,27.5,32.6875,14.5
Ford,Gasoline,6,23,17,20.0,32.6875,14.5
Ford,Gasoline,8,22,15,18.5,32.6875,14.5
Genesis,Gasoline,6,24,17,20.5,20.5,19.0
Genesis,Gasoline,8,23,15,19.0,20.5,19.0
